	tissue	cluster	lev1	Gm13446	Utp20	4930549G23Rik	Ncmap	Tpm2	Pla2g5	Cldn1	Maf	Cda	Nefh	Sh3bgr	Tuba8	Rapsn	Cidea	Crabp1	Ephb3	Rasgrp4	Pvalb	Tnfrsf13c	Nfatc1	CK137956	Aqp6	Spp1	Syt10	P2ry1	Rxfp2	Hrh1	Zfpm2	Gm5	Rbl1	1500016L03Rik	Ncald	Chrm3	2010001M06Rik	Ryr1	Ptprz1	Frzb	Nhsl1	C920025E04Rik	Gpc3	3110047P20Rik	Chrdl1	Prr15l	Acap1	5730403I07Rik	Nrl	Lypd1	Gpr39	Mef2c	Rab38	Krt17	Gm4980	4933427G17Rik	Lgals9	Rspo3	Gal	Lta	Mlxipl	Cst12	Pnoc	Npbwr1	Abi3bp	Prdm8	Slc35d3	Hcrtr2	Col24a1	Gpc4	Ndst4	Abcb1b	Col6a1	Sstr1	Crym	Cartpt	Robo3	Pdyn	Gucy2d	Cplx1	Gad1	Nr2f2	Kcnf1	Krt25	Tfap2b	Slc30a3	Nexn	Vamp1	Elavl2	Fstl1	Col25a1	Npy2r	Amn	Pde1a	Ecel1	Npy	Islr2	2700069I18Rik	Plch1	Trhr	Qrfpr	Dnah5	Bmp7	Gltscr1	Dab2ip	Sphkap	Ogg1	Meis2	Fbn1	Pcp4	Calb2	Tac1	Adra2a	Mc4r	Alk	Gpr101	Lmo3	Cbln4	Wipf3	Npff	Nmbr	Ddr2	Nr4a1	Mir335	Snora21	Dnajc25	Fam19a1	Col5a2	Nmb	2410016O06Rik	Gng13	Pou4f1	Satb1	Hoxc10	Ntng1	Dnajc16	Tnfsf13b	Grpr	Gda	Tomm5	Myo5b	Lmo4	Ninl	Slc17a6	Gpr83	Drd2	Slc9b2	Dact2	Hoxc8	Rreb1	Asic2	Actn1	D430041D05Rik	AI593442	Pthlh	Tac2	Col12a1	Mia	Nmu	Angpt4	Lrrc38	Prex2	Hspa1a	Col11a1	Rasl11a	C1qtnf3	C530044C16Rik	Cbln1	Crhbp	Cpne8	Cpxm2	Sostdc1	Adcyap1	Reln	Gfra1	Crh	A230065H16Rik	Cpne4	Cck	Ppp1r17	Cbln2	Nrn1	Gm715	Plch2	Atp10d	Th	Adra1b	Tnfaip8l3	Hsbp1l1	Ucn3	Trh	Defb1	1700052K11Rik	Nts	Pdia5	Pprc1	Tldc1	Gm3696	Snx7
1772099302_A12	dorsal horn	18	glut	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0	3	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	7	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	2	0	7	2	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	1	0	0	0	0	16	0	0	0	4	0
1772099110_D03	dorsal horn	18	glut	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	3	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	11	0	1	2	3	5
1772117154_E10	dorsal horn	18	glut	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	3	0	2	0	0	0	0	1	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	28	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	47	0	0	4	0	0
1772099154_B11	dorsal horn	18	glut	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	3	0	2	5	5	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1
1772072243_C06	dorsal horn	18	glut	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	8	0	16	0	0	0	3	1	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	2	0	0	0	0	8	0	0	0	0	1	0	5	0	0	4	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	42	0	1	0	0	0
1772122148_F05	dorsal horn	18	glut	0	0	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	20	0	0	0	0	0	0	1	1	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	10	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	1	0	1	0	0	0	0	38	0	1	0	3	0
1772099301_G09	dorsal horn	18	glut	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	3	0	3	3	1	1	0	2	0	1	4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	20	0	1	0	0	0
1772099014_H08	dorsal horn	18	glut	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	13	0	1	0	1	0
1772123027_G02	dorsal horn	18	glut	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	5	2	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	3	1	0	0	0	0	0	2	0	0	0	0	10	0	0	0	0	0	1	0	0	2	2	0	15	0	0	3	0	0	0	0	0	0	0	0	1	0	4	0	0	2	0	4	0	1	2	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	14	0	1	0	0	0
1772099110_F01	dorsal horn	19	glut	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	1	0	1	0	0	0	0	6	0	2	0	4	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	21	0	0	0	0	0	1	0	0	0	0	0	26	0	0	0	3	0
