	strain	tissue	cluster	lev1	lev2	1700009P17Rik	Fam216b	Ccdc153	Tmem212	1500015O10Rik	Cldn10	Gjb6	Apoe	Aqp4	Agt	Acsbg1	Gal3st4	Gfap	Cml5	Gja1	Slc7a10	Fgfr3	F3	Gli1	Cyp4f14	Cyp4f15	Cxcl10	Gpr37l1	Slc4a4	Atp1a2	Tril	Mmp14	5930412G12Rik	Sfrp5	Dcn	Gm7104	1700047M11Rik	Il1rap	Evi2a-evi2b	Tmod1	Ptgds	Cdk1	Cdca3	Ube2c	Spc25	Pbk	Top2a	Rhog	Ttyh2	Tnfaip6	Hcn2	Pex5l	Chdh	D7Ertd443e	Dqx1	Pla2g2d	Lpar1	Gpr17	Bcas1	9630013A20Rik	Tmem141	Rnf122	Ctps	Bmp4	Dct	Il23a	Lect1	Gng11	S100a16	Ppp1r14a	S100a6	Serpinb1a	Hist1h3d	2810459M11Rik	Mn1	Zfp607	Ddo	S100b	Sep-08	Anln	Hapln2	Pmp22	Plin3	Tdrd6	Ctnna3	Pax3	Syne3	9130023H24Rik	Mob3b	Rab37	Anxa5	Klk6	Cdkn1c	Clrn1	Nkx2-9	Dmrta1	Esam	Ly6c1	Itm2a	Cldn5	Slco1a4	Icam2	Myct1	AW112010	AU021092	C1qa	Csf1r	Laptm5	C1qb	Cx3cr1	Ly86	Pld4	Hpgds	Ccr5	Ctss	Trem2	Bcl2a1b	Ccl3	Ccl4	Ccl12	Il1a	AF251705	Tyrobp	Fcrls	H2-Eb1	Cd74	H2-Aa	Cd52	H2-Ab1	Zcchc12	Cpne8	Grp	Col11a1	Sst	A330069E16Rik	Pkd1l2	Pkd2l1	Lrrc23	Glp2r	Aldh1a2	Cacna2d1	Tac2	Cacna1h	Pthlh	Nmur2	Crhbp	Nts	Cck	Cbln1	Ucn3	Trh	Rab25	Mia	Nmu	Agtr1a	Smoc2	Lrrc38	Calb2	Pcp4	Lmo3	Gpr101	Tac1	D630023F18Rik	Cbln4	Nrn1	Nell2	Fam19a1	Slc17a6	Grpr	Fbxl22	Gda	Nms	Kcna2	Cplx1	Kcnc1	Vamp1	Scn1a	Gabra1	Slc30a3	Tfap2b	Sh3bgr	Dlk1	Pla2g5	Cldn1	Gad2	Cplx2	Sall3	Gad1	Rxfp2	F930015N05Rik	Krt25	Htr3a	Ppef1	Serpinb1b	Sez6	Cd24a	1500016L03Rik	Npy	Chrm3	Ecel1	Nrl	Tyr	Krt17	Sstr2	Sstr1	Lgals9	Pnoc	Gal	Abi3bp	Pdyn	Lta	Cst12	Pvalb	Spp1	Sema3e	Crabp1	CK137956	Tnfsf8
1772072243_B07	C57bl6	dorsal horn	7	neuron		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	5	2	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	10	4	2	8	0	0	0	0	0	0	0	2	4	4	48	0	0	0	0	0	22	1	12	0	1	0	0	0	0	0	0	0	6	0	0	1	0	0	0	2	1	8	40	1	0
1772099304_E08	C57bl6	dorsal horn	7	neuron		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	5	0	0	88	0	0	0	0	0	0	1	4	7	1	2	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	3	1	2	0	2	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	2	0	1	0	0	0	0	0	0	0	1	3	2	22	0	0	0	0	0	10	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	36	0	1
1772117151_F03	C57bl6	dorsal horn	7	neuron		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	6	0	0	4	0	0	0	0	0	0	0	7	5	6	40	0	0	0	0	0	13	1	12	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	6	4	57	2	0
1772117059_G03	C57bl6	dorsal horn	7	neuron		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	5	0	0	5	0	0	0	0	0	0	0	0	2	4	37	0	0	0	2	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	10	0	0
1772099314_B08	C57bl6	dorsal horn	7	neuron		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	1	3	1	5	0	0	0	0	0	0	4	3	1	2	2	0	0	0	0	2	0	6	3	0	1	1	0	0	0	0	7	10	0	1	3	0	0	0	0	0	27	3	19	18	10	5	0	0	0	0	0	1	1	5	6	0	0	0	0	0	0	4	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	6	7	0	0	2	0	0	0	7	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	1	0	0	0	0	0	1	0	1	0	0	0	0	2	7	5	0	6	0	0	0	0	0	0	0	1	5	19	30	0	0	0	0	0	7	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	1	10	1	2
1772117059_H07	C57bl6	dorsal horn	7	neuron		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	6	1	0	0	0	1	6	4	5	5	0	0	0	0	0	0	0	3	6	3	27	0	0	0	0	0	20	0	13	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	1	7	4	36	1	0
1772123023_G03	vGat-Cre-tdTomato	dorsal horn	7	neuron		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	1	0	0	0	1	0	0	0	1	0	5	6	3	2	4	0	0	0	0	0	0	0	2	3	7	37	0	0	0	0	0	12	7	11	0	3	8	0	0	0	0	0	0	2	4	0	0	0	0	0	0	4	4	13	0	0
1772099303_H03	C57bl6	dorsal horn	7	neuron		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	2	0	0	0	3	0	3	6	91	0	0	0	0	0	0	4	2	2	2	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	5	0	3	0	1	0	0	0	0	0	1	4	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	1	0	2	0	0	0	0	0	0	0	0	1	1	22	0	0	0	0	0	8	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	9	4	23	0	2
1772117100_F06	C57bl6	dorsal horn	7	neuron		0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	9	0	1	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	1	0	7	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	7	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	2	7	0	1	10	0	3	5	0	0	0	0	0	8	3	0	2	1	0	0	0	0	0	0	1	1	4	32	0	0	0	0	0	12	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	2	38	0	0
1772122247_A04	vGat-Cre-tdTomato	dorsal horn	7	neuron		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	1	5	2	0	1	0	0	0	0	0	4	7	5	24	0	0	0	6	0	33	2	9	1	4	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	28	3	91	0	0
